"record_id","source_record_id","date","mine_name","state","district","scenario_type","action","target_rom_tonnes","actual_rom_tonnes","shortfall_tonnes","shortfall_pct","equipment_downtime_hours","downtime_3d_hours","blast_delay_minutes","rainfall_mm","rain_3d_mm","rain_7d_mm","avg_mn_grade_pct","resources_allocated","duration_hours","action_intensity","available_equipment_pct","available_pumps","labor_available_pct","stockpile_available_tonnes","quality_uplift_pct","recovered_tonnage","remaining_shortfall","action_cost","revenue_saved","net_benefit"
"M4V2-000001","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","25.75","9.16","0.736","100.0","","","","","2.304","54.046","4602.7","2655.0","-1947.7"
"M4V2-000002","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","9.73","9.93","0.177","99.93","","","","","1.692","54.658","3738.23","1350.0","-2388.23"
"M4V2-000003","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","11.18","20.77","0.167","100.0","","","","","2.286","54.064","5563.62","2826.0","-2737.62"
"M4V2-000004","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","24.73","13.36","0.263","97.27","","","","","2.399","53.951","5058.25","2673.0","-2385.25"
"M4V2-000005","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","72.62","14.51","0.899","","4.0","","","","3.085","53.265","11109.45","1746.0","-9363.45"
"M4V2-000006","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","68.02","20.88","0.567","","4.0","","","","2.891","53.459","11978.17","1233.0","-10745.17"
"M4V2-000007","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","62.01","15.84","0.24","","2.0","","","","2.042","54.308","10672.28","891.0","-9781.28"
"M4V2-000008","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","DEWATERING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","7.01","10.13","0.592","","4.0","","","","1.824","54.526","6018.02","450.0","-5568.02"
"M4V2-000009","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","16.35","14.63","0.798","92.39","","","","","2.368","53.982","10994.81","144.0","-10850.81"
"M4V2-000010","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","37.42","18.86","0.168","100.0","","","","","1.939","54.411","13664.87","180.0","-13484.87"
"M4V2-000011","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","72.63","7.04","0.595","100.0","","","","","2.797","53.553","13118.19","216.0","-12902.19"
"M4V2-000012","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","PREVENTIVE_MAINTENANCE","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","93.25","16.18","0.102","100.0","","","","","2.31","54.04","17337.6","216.0","-17121.6"
"M4V2-000013","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","20.72","9.08","0.244","","","88.24","","","2.093","54.257","2542.82","2043.0","-499.82"
"M4V2-000014","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","86.66","12.85","0.473","","","90.07","","","3.345","53.005","5188.19","4905.0","-283.19"
"M4V2-000015","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","26.63","11.15","0.235","","","71.59","","","2.113","54.237","2970.55","1998.0","-972.55"
"M4V2-000016","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","CONTINGENCY_LABOR","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","85.17","5.89","0.76","","","90.54","","","2.765","53.585","4502.3","4581.0","78.7"
"M4V2-000017","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","66.76","3.85","0.611","","","","324.56","4.66","7.076","49.274","3417.72","21125.95","17708.23"
"M4V2-000018","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","9.09","1.48","0.105","","","","361.3","2.873","4.62","51.73","1686.38","756.92","-929.46"
"M4V2-000019","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","88.1","14.38","0.182","","","","320.34","2.839","6.22","50.13","4615.94","22184.26","17568.32"
"M4V2-000020","PROD-000001","2022-04-01","Chikla","Maharashtra","Bhandara","real_daily","BLENDING","585.15","528.8","56.35","9.63","0.12","0.12","30.0","7.75","7.75","7.75","29.853","73.29","8.45","0.209","","","","298.43","2.848","4.602","51.748","3952.3","12387.11","8434.81"
"M4V2-000021","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","71.57","23.33","0.745","75.84","","","","","2.403","38.657","8722.68","1161.0","-7561.68"
"M4V2-000022","PROD-000002","2022-04-02","Chikla","Maharashtra","Bhandara","real_daily","REROUTE_FLEET","578.37","537.31","41.06","7.0993","2.6","2.72","0.0","0.0","7.75","7.75","29.853","32.02","7.99","0.191","89.05","","","","","1.548","39.512","4520.04","297.0","-4223.04"
