mine_name,financial_year_or_basis,grade_band,reference_price_inr_per_t,production_cost_inr_per_t,price_reference_type,cost_reference_type,source_note,source_url
Balaghat,2022-23,BELOW_25,5154.44,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM MCDR Annual Return 2022-23: grade-wise ex-mine prices and production cost. No 35-<46 price reported because production/dispatch in that band was zero.,https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf
Balaghat,2022-23,25_TO_BELOW_35,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM MCDR Annual Return 2022-23: grade-wise ex-mine prices and production cost. No 35-<46 price reported because production/dispatch in that band was zero.,https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf
Balaghat,REFERENCE_MIX,35_TO_BELOW_46,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf
Balaghat,2022-23,46_AND_ABOVE,25074.28,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM MCDR Annual Return 2022-23: grade-wise ex-mine prices and production cost. No 35-<46 price reported because production/dispatch in that band was zero.,https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf
Ukwa,2023-24,BELOW_25,4709.07,6198.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf
Ukwa,2023-24,25_TO_BELOW_35,9942.03,6198.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf
Ukwa,2023-24,35_TO_BELOW_46,15243.41,6198.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf
Ukwa,2023-24,46_AND_ABOVE,24142.0,6198.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf
Tirodi,2023-24,BELOW_25,3124.96,6705.57,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf
Tirodi,2023-24,25_TO_BELOW_35,6798.19,6705.57,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf
Tirodi,2023-24,35_TO_BELOW_46,13730.12,6705.57,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf
Tirodi,REFERENCE_MIX,46_AND_ABOVE,20343.79,6705.57,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf
Gumgaon,REFERENCE_MIX,BELOW_25,4709.07,6504.93,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf
Gumgaon,2020-21,25_TO_BELOW_35,7229.73,6504.93,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny. Report itself flags inconsistencies in some dispatch/grade entries; treat with caution.,https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf
Gumgaon,REFERENCE_MIX,35_TO_BELOW_46,13127.91,6504.93,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf
Gumgaon,2020-21,46_AND_ABOVE,13639.75,6504.93,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny. Report itself flags inconsistencies in some dispatch/grade entries; treat with caution.,https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf
Kandri,REFERENCE_MIX,BELOW_25,4709.07,10225.51,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/12032021131624Kandri_mcdr_21.pdf
Kandri,2020-21,25_TO_BELOW_35,8297.68,10225.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,"IBM MCDR FY2020-21 Annual Return values. The report flags a mismatch between monthly-return and annual-return ex-mine prices, so treat these annual-return figures with caution.",https://ibm.gov.in/writereaddata/files/12032021131624Kandri_mcdr_21.pdf
Kandri,2020-21,35_TO_BELOW_46,12350.98,10225.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,"IBM MCDR FY2020-21 Annual Return values. The report flags a mismatch between monthly-return and annual-return ex-mine prices, so treat these annual-return figures with caution.",https://ibm.gov.in/writereaddata/files/12032021131624Kandri_mcdr_21.pdf
Kandri,2020-21,46_AND_ABOVE,16545.59,10225.51,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,"IBM MCDR FY2020-21 Annual Return values. The report flags a mismatch between monthly-return and annual-return ex-mine prices, so treat these annual-return figures with caution.",https://ibm.gov.in/writereaddata/files/12032021131624Kandri_mcdr_21.pdf
Chikla,REFERENCE_MIX,BELOW_25,4709.07,7460.48,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf
Chikla,2022-23,25_TO_BELOW_35,6090.37,7460.48,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf
Chikla,2022-23,35_TO_BELOW_46,12525.7,7460.48,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,IBM Annual Return scrutiny; ex-mine prices + production cost.,https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf
Chikla,REFERENCE_MIX,46_AND_ABOVE,20343.79,7460.48,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,Fallback median of available official IBM ex-mine price references for this Mn grade band.,https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf
Dongri Buzurg,REFERENCE_MIX,BELOW_25,4709.07,7083.02,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_COSTS,Fallback median of available official IBM ex-mine price references for this Mn grade band.,
Dongri Buzurg,REFERENCE_MIX,25_TO_BELOW_35,7013.96,7083.02,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_COSTS,Fallback median of available official IBM ex-mine price references for this Mn grade band.,
Dongri Buzurg,REFERENCE_MIX,35_TO_BELOW_46,13127.91,7083.02,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_COSTS,Fallback median of available official IBM ex-mine price references for this Mn grade band.,
Dongri Buzurg,REFERENCE_MIX,46_AND_ABOVE,20343.79,7083.02,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_COSTS,Fallback median of available official IBM ex-mine price references for this Mn grade band.,
