record_id,mine_name,state,district,mine_latitude,mine_longitude,coordinate_quality,lithology,from_m,to_m,thickness_m,specific_gravity,area_m2,chemistry_schema,mn_pct,mno_pct,mno2_pct,fe2o3_pct,sio2_pct,p2o5_pct,tio2_pct,al2o3_pct,cao_pct,mgo_pct,ai_pct,s2_b4,s2_b8,s2_b11,s2_b12,aster_b4,aster_b5,aster_b6,aster_b7,aster_b8,aster_b9,data_status,volume_m3,estimated_tonnage_proxy_t,ndvi,s2_b11_b12_ratio,aster_b4_b5_ratio,aster_b6_b7_ratio,aster_b8_b9_ratio,grade_band,mno_pct_missing,mno2_pct_missing,fe2o3_pct_missing,sio2_pct_missing,p2o5_pct_missing,tio2_pct_missing,al2o3_pct_missing,cao_pct_missing,mgo_pct_missing,ai_pct_missing,reference_price_inr_per_t,production_cost_inr_per_t,price_reference_type,cost_reference_type,gross_margin_proxy_inr_per_t,estimated_gross_value_inr,profit_proxy_inr
GEO-000001,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,88.05,89.04,0.99,3.442,292.29,MANDRI_STYLE,34.14,37.66,6.77,3.0,23.44,1.378,0.337,7.654999999999999,3.43,2.295,16.58,0.214328,0.306528,0.272654,0.196431,0.276098,0.249051,0.27153,0.234544,0.271076,0.234693,SYNTHETIC_SCHEMA_FAITHFUL,289.37,996.01,0.177016,1.38804,1.1086,1.157693,1.155024,25_TO_BELOW_35,1,0,0,0,0,1,1,1,1,0,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,3793294.12,-4520351.54
GEO-000002,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,102.81,103.31,0.5,3.391,406.8,HIVRA_STYLE,38.18,49.03,12.0,7.44,26.98,0.648,0.14,8.13,2.67,3.39,12.01,0.134355,0.24227,0.212123,0.141249,0.203215,0.196922,0.249204,0.179892,0.217517,0.18353,SYNTHETIC_SCHEMA_FAITHFUL,203.4,689.73,0.286532,1.501766,1.031957,1.385298,1.185185,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,9054713.36,3297571.54
GEO-000003,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,27.12,30.21,3.09,3.389,314.74,HIVRA_STYLE,38.1,49.03,12.0,9.01,28.03,1.093,0.26,3.65,3.35,2.46,12.01,0.21057,0.269695,0.271586,0.191631,0.249907,0.206667,0.24082,0.20189,0.270739,0.228035,SYNTHETIC_SCHEMA_FAITHFUL,972.55,3295.97,0.123109,1.417234,1.209225,1.192828,1.187269,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,43269197.52,15757900.73
GEO-000004,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,31.08,34.14,3.05,3.386,75.0,HIVRA_STYLE,40.47,52.38,12.0,8.42,25.36,0.911,0.352,6.72,2.93,2.25,12.01,0.12124,0.21934,0.172087,0.090228,0.143438,0.128996,0.144738,0.176671,0.135859,0.120453,SYNTHETIC_SCHEMA_FAITHFUL,228.75,774.55,0.288038,1.907246,1.111957,0.819252,1.1279,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,10168222.69,3703092.57
GEO-000005,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,43.32,43.84,0.52,3.68,123.24,HIVRA_STYLE,45.38,58.99,12.0,8.67,21.86,0.64,0.208,3.86,2.67,1.81,12.01,0.229904,0.28655,0.258493,0.232001,0.279816,0.216906,0.230207,0.247461,0.244292,0.228551,SYNTHETIC_SCHEMA_FAITHFUL,64.08,235.81,0.109683,1.114189,1.290033,0.930276,1.068873,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,3095692.46,1127398.18
GEO-000006,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,63.67,64.2,0.53,3.413,151.22,HIVRA_STYLE,45.3,58.34,12.0,8.18,19.4,1.36,0.293,6.3,2.09,1.74,12.01,0.062686,0.090937,0.08871,0.06004,0.078423,0.028974,0.088172,0.060707,0.077533,0.048871,SYNTHETIC_SCHEMA_FAITHFUL,80.15,273.55,0.183898,1.477515,2.706668,1.452419,1.586483,35_TO_BELOW_46,0,1,0,0,0,0,0,0,0,1,13127.91,8346.95,DEMO_FALLBACK_MEDIAN_OF_OFFICIAL_REFERENCES,OFFICIAL_IBM_PRODUCTION_COST,4780.96,3591139.78,1307831.61
GEO-000007,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,87.5,88.5,0.99,3.436,87.55,MANDRI_STYLE,11.43,37.66,2.24,27.67,59.93,1.26,0.337,7.654999999999999,3.43,2.295,8.53,0.210904,0.256388,0.226315,0.172568,0.211732,0.187028,0.205687,0.204703,0.189555,0.196376,SYNTHETIC_SCHEMA_FAITHFUL,86.67,297.8,0.097335,1.311454,1.132087,1.004807,0.965266,BELOW_25,1,0,0,0,0,1,1,1,1,0,5154.44,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-3192.51,1534992.23,-950729.48
GEO-000008,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,39.83,41.84,2.02,3.666,75.0,HIVRA_STYLE,26.24,34.03,12.0,10.47,39.24,2.346,0.402,4.76,3.57,2.61,12.01,0.17826,0.238237,0.220721,0.188541,0.209487,0.179619,0.235501,0.177646,0.226636,0.194972,SYNTHETIC_SCHEMA_FAITHFUL,151.5,555.4,0.144003,1.170679,1.166285,1.325676,1.162403,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,2115235.35,-2520660.68
GEO-000009,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,89.31,90.23,0.92,3.422,366.85,HIVRA_STYLE,32.67,42.34,12.0,10.24,24.64,1.405,0.266,11.57,3.67,1.72,12.01,0.078575,0.107174,0.095013,0.073126,0.076136,0.045067,0.075316,0.099774,0.092349,0.082544,SYNTHETIC_SCHEMA_FAITHFUL,337.5,1154.92,0.153966,1.299305,1.689396,0.754866,1.118785,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,4398501.27,-5241558.22
GEO-000010,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,56.76,57.87,1.11,3.364,533.89,HIVRA_STYLE,28.94,37.73,12.0,14.13,28.95,0.785,0.185,8.51,3.92,2.17,12.01,0.123504,0.20749,0.213781,0.148457,0.193275,0.173228,0.185767,0.165187,0.178179,0.128858,SYNTHETIC_SCHEMA_FAITHFUL,592.62,1993.57,0.253739,1.44002,1.115726,1.124586,1.382755,25_TO_BELOW_35,0,1,0,0,0,0,0,0,0,1,3808.49,8346.95,OFFICIAL_IBM_EX_MINE_PRICE,OFFICIAL_IBM_PRODUCTION_COST,-4538.46,7592491.41,-9047737.7
