record_id,date,mine_name,state,district,mine_latitude,mine_longitude,target_rom_tonnes,actual_rom_tonnes,equipment_downtime_hours,blast_delay_minutes,rainfall_mm,target_basis,calibration_quality,data_status,shortfall_tonnes,shortfall_pct,shortfall_flag,rain_3d_mm,downtime_3d_hours,rain_7d_mm,downtime_7d_hours,soil_moisture_pct,soil_moisture_3d_avg,soil_moisture_7d_avg,soil_moisture_source
PROD-0000001,2022-04-01,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,839.3,784.35,3.35,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,54.95,6.547,1,0.0,3.35,0.0,3.35,25.0,25.0,25.0,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000002,2022-04-02,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,860.53,827.78,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,32.75,3.806,1,0.0,3.35,0.0,3.35,22.43,23.72,23.72,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000003,2022-04-03,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,950.33,857.82,5.12,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,92.51,9.735,1,0.0,8.47,0.0,8.47,20.62,22.68,22.68,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000004,2022-04-04,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,948.65,850.32,3.86,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,98.33,10.365,1,0.0,8.98,0.0,12.33,19.5,20.85,21.89,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000005,2022-04-05,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,986.56,905.9,2.05,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,80.66,8.176,1,0.0,11.03,0.0,14.38,18.18,19.43,21.15,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000006,2022-04-06,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,986.75,936.09,1.19,0,8.3,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,50.66,5.134,1,8.3,7.1,8.3,15.57,25.31,21.0,21.84,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000007,2022-04-07,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,954.6,898.34,1.31,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,56.26,5.894,1,8.3,4.55,8.3,16.88,25.12,22.87,22.31,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000008,2022-04-08,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,923.88,888.0,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,35.88,3.884,1,8.3,2.5,8.3,13.53,24.53,24.99,22.24,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000009,2022-04-09,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1032.17,980.9,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,51.27,4.967,1,0.0,1.31,8.3,13.53,21.15,23.6,22.06,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000010,2022-04-10,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,956.81,909.84,0.17,0,2.04,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,46.97,4.909,1,2.04,0.17,10.34,8.58,21.87,22.52,22.24,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000011,2022-04-11,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1049.75,989.91,1.22,0,6.28,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,59.84,5.7,1,8.32,1.39,16.62,5.94,27.09,23.37,23.32,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000012,2022-04-12,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,928.46,879.24,1.32,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,49.22,5.301,1,8.32,2.71,16.62,5.21,24.11,24.36,24.17,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000013,2022-04-13,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,960.88,884.89,2.74,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,75.99,7.908,1,6.28,5.28,8.32,6.76,20.09,23.76,23.42,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000014,2022-04-14,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1060.71,1026.55,2.97,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,34.16,3.22,1,0.0,7.03,8.32,8.42,20.04,21.41,22.7,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000015,2022-04-15,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,935.16,880.49,2.82,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,54.67,5.846,1,0.0,8.53,8.32,11.24,18.92,19.68,21.9,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
PROD-0000016,2022-04-16,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,856.9,830.94,0.63,0,3.86,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE,25.96,3.03,1,3.86,6.42,12.18,11.87,22.59,20.52,22.1,SYNTHETIC_DEMO_CORRELATED_WITH_RAINFALL_REPLACE_WITH_NASA_SMAP_OR_ISRO_BHUVAN
