date,mine_name,base_capacity,rainfall_mm,rain_3d_mm,rain_7d_mm,soil_moisture_pct,equipment_downtime_hours,blast_delay_minutes,actual_rom_tonnes
2022-01-01,Balaghat,922.5,0.0,0.0,0.0,12.85,0.94,0.23,902.99
2022-01-02,Balaghat,922.5,0.0,0.0,0.0,13.14,2.21,11.96,851.62
2022-01-03,Balaghat,922.5,0.0,0.0,0.0,12.29,1.21,4.64,903.81
2022-01-04,Balaghat,922.5,4.52,1.51,1.13,15.7,0.23,11.34,893.15
2022-01-05,Balaghat,922.5,0.0,1.51,0.9,15.54,1.24,12.07,889.68
2022-01-06,Balaghat,922.5,0.0,1.51,0.75,15.65,1.11,3.22,891.62
2022-01-07,Balaghat,922.5,0.0,0.0,0.65,13.95,0.3,14.0,907.77
2022-01-08,Balaghat,922.5,0.0,0.0,0.65,13.96,1.59,9.06,862.9
2022-01-09,Balaghat,922.5,4.79,1.6,1.33,15.63,0.79,2.53,897.75
2022-01-10,Balaghat,922.5,0.0,1.6,1.33,13.26,1.38,13.26,882.06
2022-01-11,Balaghat,922.5,0.0,1.6,0.68,12.37,0.0,0.0,915.52
2022-01-12,Balaghat,922.5,0.0,0.0,0.68,11.2,1.62,5.83,854.43
2022-01-13,Balaghat,922.5,0.0,0.0,0.68,10.81,0.47,4.19,938.62
2022-01-14,Balaghat,922.5,0.0,0.0,0.68,8.93,1.58,19.78,853.75
2022-01-15,Balaghat,922.5,0.0,0.0,0.68,7.29,0.82,1.59,910.18
2022-01-16,Balaghat,922.5,0.0,0.0,0.0,9.25,0.36,0.49,912.16
2022-01-17,Balaghat,922.5,0.0,0.0,0.0,8.88,0.07,5.42,949.05
2022-01-18,Balaghat,922.5,0.0,0.0,0.0,9.53,0.11,0.0,935.64
2022-01-19,Balaghat,922.5,0.0,0.0,0.0,10.07,1.24,1.74,873.96
2022-01-20,Balaghat,922.5,0.0,0.0,0.0,9.67,3.1,9.9,844.9
2022-01-21,Balaghat,922.5,0.0,0.0,0.0,9.61,2.57,8.24,860.79
2022-01-22,Balaghat,922.5,0.0,0.0,0.0,10.79,0.47,4.09,915.76
2022-01-23,Balaghat,922.5,0.0,0.0,0.0,10.25,1.55,0.0,885.01
2022-01-24,Balaghat,922.5,0.0,0.0,0.0,8.04,1.09,8.32,903.2
2022-01-25,Balaghat,922.5,0.0,0.0,0.0,7.37,0.49,8.57,909.75
2022-01-26,Balaghat,922.5,0.0,0.0,0.0,9.18,0.0,8.65,901.97
2022-01-27,Balaghat,922.5,0.0,0.0,0.0,6.06,0.52,0.0,885.15
2022-01-28,Balaghat,922.5,0.0,0.0,0.0,4.15,1.38,3.19,922.81
2022-01-29,Balaghat,922.5,0.0,0.0,0.0,3.6,1.6,5.22,881.04
2022-01-30,Balaghat,922.5,0.0,0.0,0.0,3.0,1.42,9.54,873.23
2022-01-31,Balaghat,922.5,3.09,1.03,0.44,5.79,0.81,19.83,858.79
2022-02-01,Balaghat,922.5,0.0,1.03,0.44,5.99,0.32,6.93,905.78
2022-02-02,Balaghat,922.5,0.0,1.03,0.44,7.39,0.89,7.58,870.77
2022-02-03,Balaghat,922.5,0.0,0.0,0.44,6.56,0.68,26.19,908.11
2022-02-04,Balaghat,922.5,0.0,0.0,0.44,8.26,1.2,11.4,867.97
2022-02-05,Balaghat,922.5,0.0,0.0,0.44,7.53,3.1,12.62,829.89
2022-02-06,Balaghat,922.5,0.0,0.0,0.44,8.89,1.16,4.53,900.89
2022-02-07,Balaghat,922.5,0.0,0.0,0.0,9.09,1.58,17.47,882.85
2022-02-08,Balaghat,922.5,0.0,0.0,0.0,7.86,1.9,5.18,877.22
2022-02-09,Balaghat,922.5,0.0,0.0,0.0,7.85,2.04,18.37,870.07
2022-02-10,Balaghat,922.5,0.0,0.0,0.0,7.39,2.99,10.42,819.49
2022-02-11,Balaghat,922.5,0.0,0.0,0.0,6.4,0.33,0.0,923.89
2022-02-12,Balaghat,922.5,0.0,0.0,0.0,6.35,1.1,6.57,898.9
2022-02-13,Balaghat,922.5,1.82,0.61,0.26,6.84,2.03,8.73,839.61
2022-02-14,Balaghat,922.5,0.0,0.61,0.26,4.65,0.31,9.67,932.4
2022-02-15,Balaghat,922.5,1.72,1.18,0.51,4.85,2.37,0.26,868.01
2022-02-16,Balaghat,922.5,0.0,0.57,0.51,6.63,0.0,3.23,936.9
2022-02-17,Balaghat,922.5,0.0,0.57,0.51,5.59,0.4,7.29,932.45
2022-02-18,Balaghat,922.5,0.0,0.0,0.51,3.48,2.64,11.19,893.67
2022-02-19,Balaghat,922.5,0.0,0.0,0.51,3.36,0.68,10.64,884.97
2022-02-20,Balaghat,922.5,0.0,0.0,0.25,3.0,0.09,24.71,906.44
2022-02-21,Balaghat,922.5,0.0,0.0,0.25,3.0,0.91,16.43,936.96
2022-02-22,Balaghat,922.5,0.0,0.0,0.0,4.54,0.93,7.67,882.09
2022-02-23,Balaghat,922.5,0.0,0.0,0.0,5.0,1.75,4.07,900.3
2022-02-24,Balaghat,922.5,0.0,0.0,0.0,4.3,2.43,0.0,915.39
2022-02-25,Balaghat,922.5,0.0,0.0,0.0,3.37,1.23,10.83,894.9
2022-02-26,Balaghat,922.5,0.0,0.0,0.0,3.0,1.54,1.91,914.63
2022-02-27,Balaghat,922.5,0.0,0.0,0.0,4.57,1.62,3.11,895.21
2022-02-28,Balaghat,922.5,0.0,0.0,0.0,5.06,0.0,0.0,927.07
2022-03-01,Balaghat,922.5,0.0,0.0,0.0,4.45,0.33,14.19,914.1
2022-03-02,Balaghat,922.5,0.0,0.0,0.0,6.62,0.49,0.0,911.19
2022-03-03,Balaghat,922.5,0.0,0.0,0.0,6.29,0.65,8.21,906.0
2022-03-04,Balaghat,922.5,0.0,0.0,0.0,5.83,1.2,6.16,888.67
2022-03-05,Balaghat,922.5,0.0,0.0,0.0,3.0,0.0,8.02,900.5
2022-03-06,Balaghat,922.5,0.0,0.0,0.0,4.75,0.9,0.0,894.76
2022-03-07,Balaghat,922.5,0.0,0.0,0.0,4.76,0.0,16.39,918.73
2022-03-08,Balaghat,922.5,0.0,0.0,0.0,5.01,0.0,10.42,899.1
2022-03-09,Balaghat,922.5,0.0,0.0,0.0,5.57,1.68,5.59,872.93
2022-03-10,Balaghat,922.5,2.14,0.71,0.31,7.62,0.88,32.18,872.98
2022-03-11,Balaghat,922.5,0.0,0.71,0.31,6.93,0.42,9.31,909.44
2022-03-12,Balaghat,922.5,0.0,0.71,0.31,6.34,1.03,0.0,934.97
2022-03-13,Balaghat,922.5,0.0,0.0,0.31,7.97,0.34,7.59,903.43
2022-03-14,Balaghat,922.5,0.0,0.0,0.31,7.47,0.26,2.67,905.49
2022-03-15,Balaghat,922.5,0.0,0.0,0.31,7.96,0.61,23.46,898.44
2022-03-16,Balaghat,922.5,0.0,0.0,0.31,7.28,2.31,2.13,866.29
2022-03-17,Balaghat,922.5,0.0,0.0,0.0,7.79,2.81,13.05,816.72
2022-03-18,Balaghat,922.5,0.0,0.0,0.0,6.39,0.0,4.8,899.58
2022-03-19,Balaghat,922.5,0.0,0.0,0.0,7.26,0.48,5.61,920.81
2022-03-20,Balaghat,922.5,0.0,0.0,0.0,6.81,0.07,8.36,912.37
2022-03-21,Balaghat,922.5,0.0,0.0,0.0,3.67,0.69,4.44,884.64
2022-03-22,Balaghat,922.5,0.0,0.0,0.0,3.52,1.56,11.3,853.16
2022-03-23,Balaghat,922.5,0.0,0.0,0.0,4.51,1.66,14.85,886.04
2022-03-24,Balaghat,922.5,0.0,0.0,0.0,3.17,0.47,20.67,907.36
2022-03-25,Balaghat,922.5,0.0,0.0,0.0,4.48,1.82,9.78,868.07
2022-03-26,Balaghat,922.5,0.0,0.0,0.0,6.23,3.57,20.72,815.87
2022-03-27,Balaghat,922.5,0.0,0.0,0.0,5.92,0.12,26.35,902.72
2022-03-28,Balaghat,922.5,0.0,0.0,0.0,5.33,0.0,3.19,886.98
2022-03-29,Balaghat,922.5,6.62,2.21,0.95,8.55,0.47,14.63,920.73
2022-03-30,Balaghat,922.5,0.0,2.21,0.95,6.55,0.54,1.87,898.65
2022-03-31,Balaghat,922.5,0.0,2.21,0.95,5.67,0.65,0.0,870.84
2022-04-01,Balaghat,922.5,0.0,0.0,0.95,5.37,1.38,21.26,864.1
2022-04-02,Balaghat,922.5,0.0,0.0,0.95,4.65,2.71,35.04,838.6
2022-04-03,Balaghat,922.5,0.0,0.0,0.95,4.81,7.52,13.39,774.42
2022-04-04,Balaghat,922.5,0.0,0.0,0.95,4.86,1.05,2.14,900.92
2022-04-05,Balaghat,922.5,0.0,0.0,0.0,5.56,0.0,2.67,933.61
2022-04-06,Balaghat,922.5,0.0,0.0,0.0,3.0,0.0,7.25,933.85
