record_id,mine_name,state,district,mine_latitude,mine_longitude,coordinate_quality,lithology,from_m,to_m,thickness_m,specific_gravity,area_m2,chemistry_schema,mn_pct,mno_pct,mno2_pct,fe2o3_pct,sio2_pct,p2o5_pct,tio2_pct,al2o3_pct,cao_pct,mgo_pct,ai_pct,s2_b4,s2_b8,s2_b11,s2_b12,aster_b4,aster_b5,aster_b6,aster_b7,aster_b8,aster_b9,data_status
GEO-000001,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,88.05,89.04,0.99,3.442,292.29,MANDRI_STYLE,34.14,,6.77,3.0,23.44,1.378,,,,,16.58,0.214328,0.306528,0.272654,0.196431,0.276098,0.249051,0.27153,0.234544,0.271076,0.234693,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000002,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,102.81,103.31,0.5,3.391,406.8,HIVRA_STYLE,38.18,49.03,,7.44,26.98,0.648,0.14,8.13,2.67,3.39,,0.134355,0.24227,0.212123,0.141249,0.203215,0.196922,0.249204,0.179892,0.217517,0.18353,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000003,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,27.12,30.21,3.09,3.389,314.74,HIVRA_STYLE,38.1,49.03,,9.01,28.03,1.093,0.26,3.65,3.35,2.46,,0.21057,0.269695,0.271586,0.191631,0.249907,0.206667,0.24082,0.20189,0.270739,0.228035,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000004,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,31.08,34.14,3.05,3.386,75.0,HIVRA_STYLE,40.47,52.38,,8.42,25.36,0.911,0.352,6.72,2.93,2.25,,0.12124,0.21934,0.172087,0.090228,0.143438,0.128996,0.144738,0.176671,0.135859,0.120453,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000005,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,43.32,43.84,0.52,3.68,123.24,HIVRA_STYLE,45.38,58.99,,8.67,21.86,0.64,0.208,3.86,2.67,1.81,,0.229904,0.28655,0.258493,0.232001,0.279816,0.216906,0.230207,0.247461,0.244292,0.228551,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000006,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,63.67,64.2,0.53,3.413,151.22,HIVRA_STYLE,45.3,58.34,,8.18,19.4,1.36,0.293,6.3,2.09,1.74,,0.062686,0.090937,0.08871,0.06004,0.078423,0.028974,0.088172,0.060707,0.077533,0.048871,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000007,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Dolomitic marble,87.5,88.5,0.99,3.436,87.55,MANDRI_STYLE,11.43,,2.24,27.67,59.93,1.26,,,,,8.53,0.210904,0.256388,0.226315,0.172568,0.211732,0.187028,0.205687,0.204703,0.189555,0.196376,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000008,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,39.83,41.84,2.02,3.666,75.0,HIVRA_STYLE,26.24,34.03,,10.47,39.24,2.346,0.402,4.76,3.57,2.61,,0.17826,0.238237,0.220721,0.188541,0.209487,0.179619,0.235501,0.177646,0.226636,0.194972,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000009,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,89.31,90.23,0.92,3.422,366.85,HIVRA_STYLE,32.67,42.34,,10.24,24.64,1.405,0.266,11.57,3.67,1.72,,0.078575,0.107174,0.095013,0.073126,0.076136,0.045067,0.075316,0.099774,0.092349,0.082544,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000010,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,56.76,57.87,1.11,3.364,533.89,HIVRA_STYLE,28.94,37.73,,14.13,28.95,0.785,0.185,8.51,3.92,2.17,,0.123504,0.20749,0.213781,0.148457,0.193275,0.173228,0.185767,0.165187,0.178179,0.128858,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000011,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,60.81,67.31,6.5,3.399,134.79,HIVRA_STYLE,31.82,41.09,,13.41,29.61,0.95,0.346,9.16,2.23,2.33,,0.083006,0.17048,0.119933,0.076045,0.114748,0.073384,0.118578,0.080969,0.096817,0.084643,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000012,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,151.14,152.87,1.73,3.647,207.96,HIVRA_STYLE,31.36,40.26,,6.69,33.47,0.663,0.352,9.2,3.32,1.94,,0.064955,0.088205,0.080543,0.03796,0.077287,0.055375,0.087027,0.050656,0.063273,0.061849,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000013,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,28.48,29.98,1.5,3.37,243.2,HIVRA_STYLE,25.36,32.81,,7.04,42.27,0.82,0.336,8.12,2.91,1.86,,0.133792,0.21669,0.145873,0.137437,0.161261,0.174966,0.199268,0.142717,0.14985,0.151352,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000014,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,6.47,12.68,6.22,3.63,287.85,HIVRA_STYLE,35.32,45.46,,9.5,25.7,0.946,0.517,6.12,2.79,2.11,,0.171126,0.246072,0.206697,0.181307,0.204676,0.211747,0.178074,0.238952,0.191619,0.227629,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000015,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,25.74,27.9,2.17,3.371,159.82,HIVRA_STYLE,14.71,18.85,,8.55,52.3,0.93,0.1,7.94,5.16,2.52,,0.149578,0.217265,0.229924,0.181322,0.223095,0.208725,0.169361,0.204966,0.206662,0.232254,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000016,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,148.93,150.42,1.49,3.393,277.19,HIVRA_STYLE,30.66,40.03,,3.88,39.79,0.915,0.289,6.34,2.96,2.31,,0.096384,0.179685,0.13522,0.10848,0.14413,0.11087,0.128547,0.104748,0.139151,0.107804,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000017,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,55.34,56.53,1.19,3.435,181.16,MANDRI_STYLE,34.58,,16.94,9.94,35.16,1.231,,,,,11.35,0.101935,0.122357,0.100759,0.085842,0.115546,0.12187,0.131243,0.129925,0.076512,0.099934,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000018,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Calc-silicate rock,58.45,58.88,0.43,3.482,360.46,HIVRA_STYLE,28.49,36.56,,6.07,32.3,0.422,0.438,10.37,3.95,3.18,,0.121554,0.185698,0.169506,0.079894,0.172561,0.157033,0.14891,0.152591,0.134945,0.153424,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000019,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,69.83,70.33,0.49,3.417,217.77,HIVRA_STYLE,28.61,36.84,,9.6,32.99,1.015,0.359,8.39,4.68,2.63,,0.085286,0.165602,0.106797,0.069853,0.122931,0.108422,0.136828,0.083539,0.117582,0.102427,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000020,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,36.92,38.14,1.22,3.523,204.97,HIVRA_STYLE,39.02,50.27,,6.69,27.43,1.19,0.471,3.0,3.61,2.79,,0.106396,0.20984,0.138045,0.133774,0.158618,0.155166,0.130774,0.126904,0.154897,0.127342,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000021,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,37.77,38.72,0.95,3.435,108.5,HIVRA_STYLE,37.22,47.8,,7.82,26.21,2.033,0.38,7.34,2.84,1.89,,0.142512,0.207855,0.143214,0.102078,0.148235,0.168644,0.202082,0.169755,0.175729,0.137212,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000022,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-biotite-muscovite schist,23.1,26.04,2.94,3.449,188.44,MANDRI_STYLE,36.56,,9.96,17.46,35.97,3.244,,,,,10.56,0.102746,0.130125,0.116766,0.073312,0.139172,0.077111,0.100728,0.062288,0.078743,0.093646,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000023,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Calc-silicate rock,63.61,64.89,1.28,3.632,238.62,HIVRA_STYLE,29.36,37.99,,17.01,22.91,1.167,0.374,9.48,3.86,1.82,,0.121051,0.154135,0.13575,0.093273,0.151926,0.100735,0.144369,0.078357,0.129694,0.132946,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000024,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Biotite gneiss,20.04,22.18,2.14,3.474,396.22,HIVRA_STYLE,30.09,39.56,,13.43,31.14,0.761,0.456,5.6,3.89,2.39,,0.179921,0.214195,0.16279,0.109898,0.181032,0.148994,0.194493,0.146496,0.167859,0.175754,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000025,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartzite,14.79,16.44,1.65,3.429,165.09,HIVRA_STYLE,32.54,42.13,,12.46,27.95,0.64,0.474,6.66,4.33,2.64,,0.124368,0.150282,0.158928,0.074789,0.128089,0.08867,0.114262,0.104707,0.123045,0.085853,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000026,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Gondite,98.29,99.4,1.11,3.626,152.74,HIVRA_STYLE,18.55,24.14,,8.39,40.65,1.9,0.234,11.19,4.16,2.13,,0.05844,0.15362,0.082867,0.051246,0.066175,0.09,0.096478,0.054677,0.10004,0.073578,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000027,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Mn ore,41.13,42.11,0.98,3.39,192.24,MANDRI_STYLE,47.8,,10.45,42.0,10.27,1.945,,,,,2.99,0.140045,0.195396,0.176471,0.130791,0.144788,0.124121,0.179889,0.122304,0.181726,0.127059,SYNTHETIC_SCHEMA_FAITHFUL
GEO-000028,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,PUBLIC_TECHNICAL_MINE_LOCATION,Quartz-mica schist,95.58,96.09,0.51,3.427,375.91,HIVRA_STYLE,32.96,42.8,,5.31,36.4,0.776,0.273,3.69,3.48,2.33,,0.060751,0.115876,0.065348,0.066938,0.049727,0.0507,0.083275,0.056444,0.089184,0.091831,SYNTHETIC_SCHEMA_FAITHFUL
