record_id,date,mine_name,state,district,mine_latitude,mine_longitude,target_rom_tonnes,actual_rom_tonnes,equipment_downtime_hours,blast_delay_minutes,rainfall_mm,target_basis,calibration_quality,data_status
PROD-0000001,2022-04-01,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,839.3,784.35,3.35,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000002,2022-04-02,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,860.53,827.78,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000003,2022-04-03,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,950.33,857.82,5.12,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000004,2022-04-04,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,948.65,850.32,3.86,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000005,2022-04-05,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,986.56,905.9,2.05,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000006,2022-04-06,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,986.75,936.09,1.19,0,8.3,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000007,2022-04-07,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,954.6,898.34,1.31,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000008,2022-04-08,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,923.88,888.0,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000009,2022-04-09,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1032.17,980.9,0.0,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000010,2022-04-10,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,956.81,909.84,0.17,0,2.04,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000011,2022-04-11,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,1049.75,989.91,1.22,0,6.28,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
PROD-0000012,2022-04-12,Balaghat,Madhya Pradesh,Balaghat,21.833333,80.233333,928.46,879.24,1.32,0,0.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,SYNTHETIC_DAILY_CALIBRATED_TO_PUBLIC_ANNUAL_REFERENCE
